date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:57:31	188/188	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20May%202014%2014:57:28%20GMT	http://admindesigns.com/robots.txt		(from )
07:57:31	58000/58000	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2015:23:40%20GMT	http://admindesigns.com/stardom/	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/index.html	(from )
07:57:32	101595/101595	---MCZ	200	added ('OK')	text/css	date:Thu,%2030%20Jan%202014%2016:55:49%20GMT	http://netdna.bootstrapcdn.com/bootstrap/3.1.0/css/bootstrap.min.css	C:/My%20Web%20Sites/portlets/netdna.bootstrapcdn.com/bootstrap/3.1.0/css/bootstrap.min.css	(from http://admindesigns.com/stardom/)
07:57:32	17780/17780	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Nov%202013%2013:56:30%20GMT	http://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.min.css	C:/My%20Web%20Sites/portlets/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.min.css	(from http://admindesigns.com/stardom/)
07:57:33	19285/19285	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Feb%202014%2001:18:28%20GMT	http://admindesigns.com/stardom/fonts/glyphicons_pro/glyphicons.min.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/fonts/glyphicons_pro/glyphicons.min.css	(from http://admindesigns.com/stardom/)
07:57:33	11147/11147	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Feb%202014%2001:09:49%20GMT	http://admindesigns.com/stardom/vendor/plugins/calendar/fullcalendar.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/calendar/fullcalendar.css	(from http://admindesigns.com/stardom/)
07:57:34	6845/6845	---MCZ	200	added ('OK')	text/css	date:Sat,%2008%20Feb%202014%2001:12:16%20GMT	http://admindesigns.com/stardom/vendor/plugins/datatables/css/datatables.min.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/vendor/plugins/datatables/css/datatables.min.css	(from http://admindesigns.com/stardom/)
07:57:35	59746/59746	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202014%2004:37:17%20GMT	http://admindesigns.com/stardom/css/animate.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/css/animate.css	(from http://admindesigns.com/stardom/)
07:57:35	74938/74938	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202014%2004:43:10%20GMT	http://admindesigns.com/stardom/css/theme.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/css/theme.css	(from http://admindesigns.com/stardom/)
07:57:36	22236/22236	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Feb%202014%2004:37:16%20GMT	http://admindesigns.com/stardom/css/pages.css	C:/My%20Web%20Sites/portlets/admindesigns.com/stardom/css/pages.css	(from http://admindesigns.com/stardom/)
